path,ai_tool,vendor,host,platform,hidden,scope,category,sent_to_llm,approx_tokens,read_write,survives_compaction,cacheable,loaded_when,path_args,description,resolution,root_strategy
%APPDATA%\Claude\claude_desktop_config.json,claude-desktop,anthropic,desktop,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,MCP server configuration + trusted folders,literal,none
%APPDATA%\Claude\config.json,claude-desktop,anthropic,desktop,windows,no,global,credentials,no,0,rw,n/a,n/a,app-start,,Encrypted OAuth tokens and app settings,literal,none
%APPDATA%\Claude\bridge-state.json,claude-desktop,anthropic,desktop,windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Anthropic infrastructure bridge state,literal,none
%APPDATA%\Claude\git-worktrees.json,claude-desktop,anthropic,desktop,windows,no,global,config,no,0,rw,n/a,n/a,runtime,,Worktree configuration,literal,none
%APPDATA%\Claude\window-state.json,claude-desktop,anthropic,desktop,windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Window position and size,literal,none
%APPDATA%\Claude\extensions-installations.json,claude-desktop,anthropic,desktop,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,Installed extension manifest (MCP servers; integrations),literal,none
%APPDATA%\Claude\extensions-blocklist.json,claude-desktop,anthropic,desktop,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,Blocked extensions list,literal,none
%APPDATA%\Claude\Claude Extensions\,claude-desktop,anthropic,desktop,windows,no,global,extensions,no,0,rw,n/a,n/a,runtime,,Extension data (Filesystem; Word; PowerPoint; Chrome; etc.),literal,none
%APPDATA%\Claude\Claude Extensions Settings\,claude-desktop,anthropic,desktop,windows,no,global,config,no,0,rw,n/a,n/a,runtime,,Per-extension settings,literal,none
%APPDATA%\Claude\vm_bundles\,claude-desktop,anthropic,desktop,windows,no,global,runtime,no,0,read,n/a,n/a,app-start,,Sandboxed VM for Cowork/local agent mode (~10 GB),literal,none
%APPDATA%\Claude\claude-code\,claude-desktop,anthropic,desktop,windows,no,global,runtime,no,0,read,n/a,n/a,app-start,,Claude Code binary bundled inside Desktop,literal,none
%APPDATA%\Claude\claude-code-sessions\,claude-desktop,anthropic,desktop,windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Code tab session data,literal,none
%APPDATA%\Claude\local-agent-mode-sessions\,claude-desktop,anthropic,desktop,windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Cowork autonomous agent sessions,literal,none
%LOCALAPPDATA%\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\claude_desktop_config.json,claude-desktop,anthropic,desktop,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,MSIX virtualized actual read path (Windows),literal,none
%USERPROFILE%\.claude\CLAUDE.md,claude-code,anthropic,"cli,vscode",windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global instructions for all projects,literal,cwd
%USERPROFILE%\.claude\settings.json,claude-code,anthropic,"cli,vscode",windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Global user settings,literal,cwd
%USERPROFILE%\.claude\.credentials.json,claude-code,anthropic,"cli,vscode",windows,no,global,credentials,no,0,read,n/a,n/a,session-start,,API credentials (Windows),literal,cwd
%USERPROFILE%\.claude\settings.local.json,claude-code,anthropic,"cli,vscode",windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Local user settings (not synced),literal,cwd
%USERPROFILE%\.claude\commands\*.md,claude-code,anthropic,"cli,vscode",windows,no,global,commands,on-demand,50-500,rw,n/a,n/a,on-invoke,,Personal slash commands (all projects),literal,cwd
%USERPROFILE%\.claude\skills\{skill}\SKILL.md,claude-code,anthropic,"cli,vscode",windows,no,global,skills,partial,50-100,rw,yes,yes,description-always;body-on-demand,{skill},Personal skills (all projects),literal,cwd
%USERPROFILE%\.claude\hooks\*.sh,claude-code,anthropic,"cli,vscode",windows,no,global,hooks,no,0,rw,n/a,n/a,on-hook-trigger,,Lifecycle hooks,literal,cwd
%USERPROFILE%\.claude\plans\*.md,claude-code,anthropic,"cli,vscode",windows,no,global,memory,on-demand,100-2000,rw,yes,yes,on-demand,,Implementation plan files,literal,cwd
%USERPROFILE%\.claude\scheduled-tasks\*\SKILL.md,claude-code,anthropic,"cli,vscode",windows,no,global,commands,on-demand,50-500,rw,n/a,n/a,on-schedule,,Scheduled task definitions,literal,cwd
%USERPROFILE%\.claude\plugins\*,claude-code,anthropic,"cli,vscode",windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Plugin files,literal,cwd
%USERPROFILE%\.claude\history.jsonl,claude-code,anthropic,"cli,vscode",windows,no,global,transcript,no,0,rw,n/a,n/a,runtime,,Command history,literal,cwd
%USERPROFILE%\.claude\*,claude-code,anthropic,"cli,vscode",windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Any file under .claude/ (catch-all),literal,cwd
%USERPROFILE%\.claude\projects\{project}\memory\MEMORY.md,claude-code,anthropic,"cli,vscode",windows,no,project,memory,yes,100-3000,rw,yes,yes,every-call,{project}=path-with-slashes-to-hyphens,Auto-memory entrypoint,shadow,cwd
%USERPROFILE%\.claude\projects\{project}\memory\{topic}.md,claude-code,anthropic,"cli,vscode",windows,no,project,memory,yes,100-1000,rw,yes,yes,every-call,{project}=path-with-slashes-to-hyphens;{topic},Topic-specific auto-memory files,shadow,cwd
%USERPROFILE%\.claude\projects\{project}\session-{timestamp}.jsonl,claude-code,anthropic,"cli,vscode",windows,yes,session,transcript,no,0,rw,n/a,n/a,runtime,{project};{timestamp}=ISO-datetime,Full session transcript (JSON Lines),shadow,cwd
%USERPROFILE%\.claude\projects\{project}\{session}\subagents\agent-{hex}.jsonl,claude-code,anthropic,"cli,vscode",windows,yes,session,transcript,no,0,write,n/a,n/a,runtime,{project};{session}=uuid;{hex}=7-char-hex,Subagent task transcript,shadow,cwd
%USERPROFILE%\.claude\projects\{project}\{session}\plans\*.md,claude-code,anthropic,"cli,vscode",windows,yes,project,memory,on-demand,100-2000,rw,yes,yes,on-demand,{project};{session}=uuid,Session-specific plan files,shadow,cwd
%USERPROFILE%\.claude\projects\{project}\{session}\todos\*.json,claude-code,anthropic,"cli,vscode",windows,yes,session,runtime,no,0,rw,n/a,n/a,runtime,{project};{session}=uuid,Todo list state per session,shadow,cwd
%USERPROFILE%\.claude\projects\{project}\sessions\,claude-code,anthropic,"cli,vscode",windows,yes,project,runtime,no,0,rw,n/a,n/a,runtime,{project},Session state files,shadow,cwd
%USERPROFILE%\.claude\projects\{project}\transcripts\,claude-code,anthropic,"cli,vscode",windows,yes,project,transcript,no,0,rw,n/a,n/a,runtime,{project},Full conversation transcripts,shadow,cwd
%USERPROFILE%\.claude\statsig\,claude-code,anthropic,"cli,vscode",windows,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Analytics cache directory,literal,cwd
%USERPROFILE%\.claude\shell-snapshots\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Shell environment snapshots,literal,cwd
