Key,Type,Unit,Update,Explanation,Source
api.api_calls,AGGREGATED *,count,realtime,"Individual API call records received via OpenTelemetry — model, latency, tokens, errors. Provides per-request visibility.","Aggregated from OTel receiver events matching gen_ai.* span types. Each call logged with model, duration_ms, input/output tokens, status, and optional error details."
api.file_content,RAW,bytes,on-collect,File content retrieval for inline preview in the dashboard. Returns raw text content of tracked files.,"Direct file read from filesystem via os.open(), limited to 200KB. Path must be in the AllowedPaths whitelist (discovered tool files)."
api.file_history,RAW *,count,on-collect,"Historical timeline of file modifications — when files were created, modified, or deleted, with content snapshots at change points.",file_history table in DB. Content snapshots stored when content_hash changes between collection cycles. Queryable by path and time range.
api.project_costs,DEDUCED *,usd,on-collect,"Per-project cost breakdown — sessions, tokens, and estimated USD cost grouped by working directory / repository.","Computed from HistoryDB: session_end events grouped by project field, with token totals from telemetry. Daily breakdown from tool_telemetry table. Cost from tool-native cost tracking."
api.session_runs,RAW *,tokens,on-collect,"Historical session run data — per-session tokens, duration, project, and tool. Used for session analytics and billing.",Query from events table for session_start/session_end event pairs. Duration = end_ts - start_ts. Tokens from event detail JSON.
budget.context_window.always_loaded,DEDUCED,tokens,on-discovery,Tokens from files always loaded into the context window on every LLM call. This is the guaranteed baseline context consumption.,"compute_token_budget() classifies files: sent_to_llm=""yes"" AND loaded_when=""every-call"". Sums token estimates for matching files. Includes global scope + largest sub-project."
budget.context_window.cacheable,DEDUCED,tokens,on-discovery,"Tokens from files marked as cacheable — can be served from prompt cache, reducing cost and latency.","Files where cacheable=""yes"" in paths-*.csv. These files benefit from prompt caching when the AI provider supports it."
budget.context_window.conditional,DEDUCED,tokens,on-discovery,Tokens from files loaded conditionally based on project type or feature flags.,"Files where sent_to_llm in (""conditional"", ""partial""). Summed token estimates."
budget.context_window.on_demand,DEDUCED,tokens,on-discovery,Tokens from files loaded on-demand. Not always in context but available when referenced.,"Files where sent_to_llm=""on-demand"" OR loaded_when=""on-demand"". Summed token estimates."
budget.context_window.percentage,DEDUCED,percent,on-discovery,"Current context window usage as percentage of detected model's maximum context length. Color-coded: green <50%, yellow <80%, orange >=80%.",(always_loaded_tokens / model_max_context) * 100. Model max context detected from tool telemetry model field. For max potential: sums all projects (not just largest).
budget.model_detected,RAW *,count,on-collect,The AI model detected for context window size estimation. Used to calculate what percentage of the model's context window is consumed.,From tool telemetry model field or tool config model setting. Determines max context length for percentage calculation.
