ai_tool,capability_category,capability_name,supported,details,config_location,doc_url,last_verified
claude-code,core,interactive_chat,yes,Interactive REPL with streaming output,,https://code.claude.com/docs/en/overview,2026-03-27
claude-code,core,batch_mode,yes,Non-interactive print mode (claude -p),,https://code.claude.com/docs/en/cli-reference,2026-03-27
claude-code,core,model_selection,yes,"Opus 4.6 (default), Sonnet 4.6, Haiku 4.5",model setting or --model flag,https://code.claude.com/docs/en/settings,2026-03-27
claude-code,core,extended_context,yes,200K standard / 1M for Max/Team/Enterprise,,https://code.claude.com/docs/en/contexts,2026-03-27
claude-code,core,voice_input,yes,Push-to-talk in 20 languages,voiceEnabled setting,https://code.claude.com/docs/en/overview,2026-03-27
claude-code,core,context_compaction,yes,Auto at ~95% capacity + manual /compact,CLAUDE_AUTOCOMPACT_PCT_OVERRIDE,https://code.claude.com/docs/en/compact,2026-03-27
claude-code,instructions,claude_md,yes,Project instruction files with directory resolution,.claude/CLAUDE.md or ./CLAUDE.md,https://code.claude.com/docs/en/memory,2026-03-27
claude-code,instructions,rules,yes,Topic-scoped rules with path frontmatter,.claude/rules/*.md,https://code.claude.com/docs/en/memory,2026-03-27
claude-code,instructions,managed_policy,yes,Organization-wide CLAUDE.md and settings,/Library/Application Support/ClaudeCode/,https://code.claude.com/docs/en/settings,2026-03-27
claude-code,agents,subagents,yes,Separate Claude instances with own context,.claude/agents/*.md,https://code.claude.com/docs/en/agent-teams,2026-03-27
claude-code,agents,agent_teams,partial,Experimental team lead + teammates (requires env flag),CLAUDE_CODE_EXPERIMENTAL_AGENT_TEAMS=1,https://code.claude.com/docs/en/agent-teams,2026-03-27
claude-code,agents,worktree_isolation,yes,Git worktree for parallel file-safe work,--worktree flag or isolation: worktree,https://code.claude.com/docs/en/common-workflows,2026-03-27
claude-code,agents,task_tracking,yes,TaskCreate/Get/List/Update tools,,https://code.claude.com/docs/en/tasks,2026-03-27
claude-code,agents,scheduled_tasks,yes,CronCreate/Delete/List (session-scoped),CLAUDE_CODE_DISABLE_CRON,https://code.claude.com/docs/en/cli-reference,2026-03-27
claude-code,hooks,hook_system,yes,25 named events with 4 handler types,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,hooks,hook_PreToolUse,yes,Block tool execution before it runs,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,hooks,hook_PostToolUse,yes,React after tool execution,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,hooks,hook_SessionStart,yes,React to session start/resume/clear/compact,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,hooks,hook_FileChanged,yes,React to monitored file changes,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,hooks,hook_http_handler,yes,POST JSON to URL endpoint,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,hooks,hook_prompt_handler,yes,Single-turn LLM evaluation,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
