path,ai_tool,vendor,host,platform,hidden,scope,category,sent_to_llm,approx_tokens,read_write,survives_compaction,cacheable,loaded_when,path_args,description,resolution,root_strategy
~/Library/Application Support/Claude/claude_desktop_config.json,claude-desktop,anthropic,desktop,macos,no,global,config,no,0,rw,n/a,n/a,app-start,,MCP server configuration + trusted folders for local agent mode,literal,none
~/Library/Application Support/Claude/config.json,claude-desktop,anthropic,desktop,macos,no,global,credentials,no,0,rw,n/a,n/a,app-start,,Encrypted OAuth tokens and app settings,literal,none
~/Library/Application Support/Claude/bridge-state.json,claude-desktop,anthropic,desktop,macos,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Anthropic infrastructure bridge state,literal,none
~/Library/Application Support/Claude/git-worktrees.json,claude-desktop,anthropic,desktop,macos,no,global,config,no,0,rw,n/a,n/a,runtime,,Worktree configuration,literal,none
~/Library/Application Support/Claude/window-state.json,claude-desktop,anthropic,desktop,macos,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Window position and size,literal,none
~/Library/Application Support/Claude/extensions-installations.json,claude-desktop,anthropic,desktop,macos,no,global,config,no,0,rw,n/a,n/a,app-start,,Installed extension manifest (MCP servers; integrations),literal,none
~/Library/Application Support/Claude/extensions-blocklist.json,claude-desktop,anthropic,desktop,macos,no,global,config,no,0,rw,n/a,n/a,app-start,,Blocked extensions list,literal,none
~/Library/Application Support/Claude/Claude Extensions/,claude-desktop,anthropic,desktop,macos,no,global,extensions,no,0,rw,n/a,n/a,runtime,,Extension data (Filesystem; Word; PowerPoint; Chrome; etc.),literal,none
~/Library/Application Support/Claude/Claude Extensions Settings/,claude-desktop,anthropic,desktop,macos,no,global,config,no,0,rw,n/a,n/a,runtime,,Per-extension settings,literal,none
~/Library/Application Support/Claude/vm_bundles/,claude-desktop,anthropic,desktop,macos,no,global,runtime,no,0,read,n/a,n/a,app-start,,Sandboxed VM for Cowork/local agent mode (~10 GB),literal,none
~/Library/Application Support/Claude/claude-code/,claude-desktop,anthropic,desktop,macos,no,global,runtime,no,0,read,n/a,n/a,app-start,,Claude Code binary bundled inside Desktop (may differ from CLI version),literal,none
~/Library/Application Support/Claude/claude-code-sessions/,claude-desktop,anthropic,desktop,macos,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Code tab session data,literal,none
~/Library/Application Support/Claude/local-agent-mode-sessions/,claude-desktop,anthropic,desktop,macos,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Cowork autonomous agent sessions,literal,none
~/Library/Application Support/Claude/pending-uploads/,claude-desktop,anthropic,desktop,macos,no,global,temp,no,0,rw,n/a,n/a,runtime,,Pending file uploads,literal,none
~/Library/Logs/Claude/,claude-desktop,anthropic,desktop,macos,no,global,logs,no,0,write,n/a,n/a,runtime,,App logs (main; mcp; cowork_vm; extension logs; ~40 MB),literal,none
~/.config/Claude/claude_desktop_config.json,claude-desktop,anthropic,desktop,linux,yes,global,config,no,0,rw,n/a,n/a,app-start,,MCP server configuration,literal,none
~/.claude/CLAUDE.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global instructions for all projects,literal,cwd
~/.claude/settings.json,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,config,no,0,rw,n/a,n/a,session-start,,"Global user settings (permissions, tools, env)",literal,cwd
~/.claude/settings.local.json,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,config,no,0,rw,n/a,n/a,session-start,,Local user settings (not synced),literal,cwd
~/.claude/.credentials.json,claude-code,anthropic,"cli,vscode",linux,yes,global,credentials,no,0,read,n/a,n/a,session-start,,API credentials (Linux/Windows; macOS uses Keychain),literal,cwd
~/.claude/statsig/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Analytics cache directory,literal,cwd
~/.claude/commands/*.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,commands,on-demand,50-500,rw,n/a,n/a,on-invoke,,Personal slash commands (all projects),literal,cwd
~/.claude/skills/{skill}/SKILL.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,skills,partial,50-100,rw,yes,yes,description-always;body-on-demand,{skill},Personal skills (all projects),literal,cwd
~/.claude/hooks/*.sh,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,hooks,no,0,rw,n/a,n/a,on-hook-trigger,,"Lifecycle hooks (PreToolUse, SessionEnd, etc.)",literal,cwd
~/.claude/shell-snapshots/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Shell environment snapshots,literal,cwd
~/.claude/plans/*.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,memory,on-demand,100-2000,rw,yes,yes,on-demand,,Implementation plan files (active and historical),literal,cwd
~/.claude/scheduled-tasks/*/SKILL.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,commands,on-demand,50-500,rw,n/a,n/a,on-schedule,,Scheduled task definitions (cron-like),literal,cwd
~/.claude/plugins/*/plugin.json,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,config,no,0,rw,n/a,n/a,session-start,,Plugin manifests,literal,cwd
~/.claude/history.jsonl,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,transcript,no,0,rw,n/a,n/a,runtime,,Command history,literal,cwd
~/.claude/ide/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,IDE integration state,literal,cwd
~/.claude/session-env/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Session environment snapshots,literal,cwd
~/.claude/keybindings.json,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,config,no,0,rw,n/a,n/a,session-start,,Custom keyboard shortcuts,literal,cwd
~/.claude/stats-cache.json,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Cached usage statistics,literal,cwd
~/.claude/statusline-command.sh,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,config,no,0,rw,n/a,n/a,session-start,,Shell status line command,literal,cwd
~/.claude/rules/*.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,rules,conditional,50-500,rw,yes,yes,on-file-match,,User-level rules files (all projects),literal,cwd
~/.claude/agents/*.md,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,agent,yes,200-500,rw,yes,yes,every-call,,User-level custom agent definitions,literal,cwd
~/.claude/file-history/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,File change history (UUID subdirs),literal,cwd
~/.claude/image-cache/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Cached images from sessions,literal,cwd
~/.claude/debug/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,logs,no,0,write,n/a,n/a,runtime,,Debug log files (UUID-named),literal,cwd
~/.claude/todos/,claude-code,anthropic,"cli,vscode",macos/linux,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Agent todo JSON files,literal,cwd
