process_name,ai_tool,process_type,runtime,parent_process,starts_at,stops_at,is_daemon,auto_start,listens_port,outbound_targets,memory_idle_mb,memory_active_mb,known_leak,leak_pattern,zombie_risk,cleanup_command,ps_grep_pattern,platform,description
Claude,claude-desktop,app,electron,root,app-launch,app-close,no,no,none,api.anthropic.com,300,500,no,,none,,Claude$|Claude.exe,all,Electron main process
Claude Helper (Renderer),claude-desktop,helper,chromium,Claude,app-launch,app-close,no,yes,none,none,150,400,no,,none,,Claude Helper.*Renderer,all,Chromium renderer (chat UI)
Claude Helper (GPU),claude-desktop,helper,chromium,Claude,app-launch,app-close,no,yes,none,none,50,200,no,,none,,Claude Helper.*GPU,all,GPU acceleration process
Claude Helper (Utility),claude-desktop,helper,electron,Claude,app-launch,app-close,no,yes,none,none,30,80,no,,none,,Claude Helper.*Utility,all,Network/utility process
Claude Helper (Plugin Host),claude-desktop,extension,electron,Claude,app-launch,app-close,no,yes,none,none,30,100,no,,none,,Claude Helper.*Plugin,all,Extension host (if plugins active)
node mcp-server-*,claude-desktop,mcp-server,node,Claude,app-launch,app-close,no,yes,none,varies,15,50,yes,Not killed on app close sometimes,medium,pkill -f 'mcp-server',mcp-server-,all,One per configured MCP server (stdio transport)
npx mcp-remote <url>,claude-desktop,mcp-server,node,Claude,app-launch,app-close,no,yes,none,mcp-endpoint-url,20,30,yes,Orphaned on mcp remove; keeps running indefinitely,high,pkill -f 'mcp-remote',mcp-remote,all,HTTP/SSE MCP server proxy
claude,claude-code,cli,node,root,session-start,session-end,no,no,none,api.anthropic.com,150,400,no,,none,,^claude$|claude -p|claude --print,all,Main CLI process (interactive or non-interactive)
cmd.exe,claude-code,shell,native-binary,claude,session-start,session-end,no,yes,none,none,5,20,no,,none,,cmd.exe,windows,Shell for Bash tool calls (Windows)
node mcp-server-*,claude-code,mcp-server,node,claude,session-start,never(bug),no,yes,none,varies,15,50,yes,Not killed on session end or mcp remove,high,pkill -f 'mcp-server',mcp-server-,all,Stdio MCP servers — one per configured server
npx mcp-remote <url>,claude-code,mcp-server,node,claude,session-start,never(bug),no,yes,none,mcp-endpoint-url,20,30,yes,Orphaned on mcp remove; triggers OAuth re-auth flows,high,pkill -f 'mcp-remote',mcp-remote,all,HTTP MCP server proxy — runs indefinitely after removal
claude --print --resume <id>,claude-code,subagent,node,claude,on-tool-call,never(bug),no,no,none,api.anthropic.com,45,150,yes,"Subagents may not terminate after Task tool completes; ~45MB each, can accumulate to 10+GB",high,pkill -f 'claude --print',claude --print|claude --resume,all,Subagent spawned by Task tool (/task)
agent-browser,claude-code,browser,node,claude,on-demand,never(bug),no,no,none,web-urls,100,300,yes,Browser daemon persists after web research completes,high,pkill -f 'agent-browser',agent-browser,all,Browser automation daemon for web research
chrome-headless-shell,claude-code,browser,chromium,agent-browser,on-demand,never(bug),no,no,none,web-urls,200,400,yes,Headless Chromium persists after session; 200-400MB each,high,pkill -f 'chrome-headless-shell',chrome-headless-shell,all,Headless Chromium instance for web browsing
playwright/driver,claude-code,browser,node,claude,on-demand,never(bug),no,no,none,web-urls,50,100,yes,Playwright driver persists after browser tests,medium,pkill -f 'playwright',playwright,all,Playwright browser controller
esbuild,claude-code,child,native-binary,bash -l,on-tool-call,never(bug),no,no,none,none,20,50,yes,"Build tool started by agent, never stopped; 24h grace period",medium,,esbuild,all,JavaScript bundler started via Bash tool
vite,claude-code,child,node,bash -l,on-tool-call,never(bug),no,no,random-localhost,none,100,300,yes,"Dev server started by agent, persists after session",medium,,vite,all,Dev server started via Bash tool
next dev,claude-code,child,node,bash -l,on-tool-call,never(bug),no,no,random-localhost,none,100,300,yes,Next.js dev server started by agent,medium,,next dev,all,Next.js dev server started via Bash tool
webpack,claude-code,child,node,bash -l,on-tool-call,never(bug),no,no,none,none,100,200,yes,Webpack bundler started by agent,medium,,webpack,all,Webpack bundler started via Bash tool
npm exec / npx,claude-code,child,node,claude,on-mcp-config,never(bug),no,yes,none,none,10,20,yes,MCP server launcher without parent after session ends,medium,pkill -f 'npm exec|npx.*mcp',npm exec|npx,all,npm/npx processes for MCP server launching
python mcp-server-*,claude-code,mcp-server,python,claude,session-start,never(bug),no,yes,none,varies,30,80,yes,Python MCP servers not cleaned up on session end,medium,pkill -f 'python.*mcp',python.*mcp-server,all,Python-based MCP servers
Cursor,cursor,app,electron,root,app-launch,app-close,no,no,random-localhost,cursor-api-endpoints,400,800,no,,none,,Cursor$|Cursor.exe,all,Electron main process (VS Code fork)
Cursor Helper (Renderer),cursor,helper,chromium,Cursor,app-launch,app-close,no,yes,none,none,200,500,no,,none,,Cursor Helper.*Renderer,all,Main editor UI renderer
Cursor Helper (GPU),cursor,helper,chromium,Cursor,app-launch,app-close,no,yes,none,none,50,200,no,,none,,Cursor Helper.*GPU,all,GPU acceleration
Cursor Helper (Extension Host),cursor,extension,electron,Cursor,app-launch,app-close,no,yes,none,none,100,300,no,,none,,Cursor Helper.*Extension,all,Extension host — runs all extensions
